month,cpi,foods,nonfoods,services,foods_weight,nonfoods_weight,services_weight
1991-01-31,0.062,0.046,0.09,0.032,,,
1991-02-28,0.048,0.031,0.059,0.052,,,
1991-03-31,0.063,0.052,0.046,0.055,,,
1991-04-30,0.635,0.718,0.705,0.215,,,
1991-05-31,0.03,0.005,0.054,0.039,,,
1991-06-30,0.012,-0.003,0.022,0.035,,,
1991-07-31,0.006,-0.028,0.028,0.044,,,
1991-08-31,0.005,-0.034,0.041,0.019,,,
1991-09-30,0.011,-0.019,0.039,0.018,,,
1991-10-31,0.035,0.023,0.05,0.026,,,
1991-11-30,0.089,0.106,0.086,0.039,,,
1991-12-31,0.121,0.161,0.105,0.034,,,
1992-01-31,2.453,3.051,2.111,1.3,,,
1992-02-29,0.38,0.298,0.476,0.4,,,
1992-03-31,0.299,0.23,0.419,0.18,,,
1992-04-30,0.217,0.1611,0.254,0.312,,,
1992-05-31,0.119,0.107,0.118,0.178,,,
1992-06-30,0.191,0.2,0.121,0.391,,,
1992-07-31,0.106,0.089,0.098,0.208,,,
1992-08-31,0.086,0.0749,0.103,0.1052,,,
1992-09-30,0.115,0.128,0.128,0.109,,,
1992-10-31,0.229,0.247,0.199,0.2888,,,
1992-11-30,0.261,0.273,0.256,0.226,,,
1992-12-31,0.252,0.256,0.269,0.162,,,
1993-01-31,0.258,0.29,0.1631,0.5,,,
1993-02-28,0.247,0.2478,0.2281,0.32,,,
1993-03-31,0.201,0.183,0.2062,0.2879,,,
1993-04-30,0.187,0.161,0.1782,0.4,,,
1993-05-31,0.181,0.162,0.1547,0.348,,,
1993-06-30,0.199,0.227,0.1645,0.173,,,
1993-07-31,0.2239,0.2251,0.1922,0.2929,,,
1993-08-31,0.26,0.2257,0.2102,0.4978,,,
1993-09-30,0.23,0.237,0.2232,0.248,,,
1993-10-31,0.195,0.185,0.1933,0.243,,,
1993-11-30,0.1639,0.1589,0.1562,0.23,,,
1993-12-31,0.125,0.1254,0.1161,0.156,,,
1994-01-31,0.179,0.21,0.107,0.3772,,,
1994-02-28,0.1082,0.106,0.0892,0.2152,,,
